"filename", "language", "TOML", "Rust", "JSON", "comment", "blank", "total"
"c:\Users\User\Documents\rust_learning\connect_four\Cargo.lock", "TOML", 130, 0, 0, 2, 20, 152
"c:\Users\User\Documents\rust_learning\connect_four\Cargo.toml", "TOML", 7, 0, 0, 1, 2, 10
"c:\Users\User\Documents\rust_learning\connect_four\src\board.rs", "Rust", 0, 392, 0, 14, 100, 506
"c:\Users\User\Documents\rust_learning\connect_four\src\board\game_state.rs", "Rust", 0, 7, 0, 0, 2, 9
"c:\Users\User\Documents\rust_learning\connect_four\src\board\player_color.rs", "Rust", 0, 10, 0, 0, 3, 13
"c:\Users\User\Documents\rust_learning\connect_four\src\lib.rs", "Rust", 0, 1, 0, 0, 1, 2
"c:\Users\User\Documents\rust_learning\connect_four\src\main.rs", "Rust", 0, 7, 0, 0, 7, 14
"c:\Users\User\Documents\rust_learning\connect_four\src\pve_game.rs", "Rust", 0, 83, 0, 0, 24, 107
"c:\Users\User\Documents\rust_learning\connect_four\src\pve_game\engine.rs", "Rust", 0, 151, 0, 7, 39, 197
"c:\Users\User\Documents\rust_learning\connect_four\src\pve_game\engine\zobrist_hash.rs", "Rust", 0, 39, 0, 0, 7, 46
"c:\Users\User\Documents\rust_learning\connect_four\src\pvp_game.rs", "Rust", 0, 46, 0, 0, 16, 62
"c:\Users\User\Documents\rust_learning\connect_four\target\.rustc_info.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\User\Documents\rust_learning\connect_four\target\debug\.fingerprint\cfg-if-818b22f8a5582b22\lib-cfg-if.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\User\Documents\rust_learning\connect_four\target\debug\.fingerprint\cfg-if-eab9226ac7bafd83\lib-cfg-if.json", "JSON", 0, 0, 1, 0, 0, 1
"c:\Users\User\Documents\rust_learning\connect_four\target\debug\.fingerprint\connect_four-023400703abe073f\test-lib-connect_four.json", "JSON", 0, 0, 1, 0, 0, 1
