Date : 2023-12-28 16:22:16
Directory : c:\Users\User\Documents\rust_learning\connect_four
Total : 54 files,  916 codes, 24 comments, 221 blanks, all 1161 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Rust     |          9 |        736 |         21 |        199 |        956 |
| TOML     |          2 |        137 |          3 |         22 |        162 |
| JSON     |         43 |         43 |          0 |          0 |         43 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                          |         54 |        916 |         24 |        221 |      1,161 |
| . (Files)                                                                                                                                                  |          2 |        137 |          3 |         22 |        162 |
| src                                                                                                                                                        |          9 |        736 |         21 |        199 |        956 |
| src (Files)                                                                                                                                                |          5 |        529 |         14 |        148 |        691 |
| src\board                                                                                                                                                  |          2 |         17 |          0 |          5 |         22 |
| src\pve_game                                                                                                                                               |          2 |        190 |          7 |         46 |        243 |
| src\pve_game (Files)                                                                                                                                       |          1 |        151 |          7 |         39 |        197 |
| src\pve_game\engine                                                                                                                                        |          1 |         39 |          0 |          7 |         46 |
| target                                                                                                                                                     |         43 |         43 |          0 |          0 |         43 |
| target (Files)                                                                                                                                             |          1 |          1 |          0 |          0 |          1 |
| target\debug                                                                                                                                               |         42 |         42 |          0 |          0 |         42 |
| target\debug\.fingerprint                                                                                                                                  |         42 |         42 |          0 |          0 |         42 |
| target\debug\.fingerprint\cfg-if-818b22f8a5582b22                                                                                                          |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\cfg-if-eab9226ac7bafd83                                                                                                          |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\connect_four-023400703abe073f                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\connect_four-0c1f72fbaea3e0a9                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\connect_four-3f8701bed1af8069                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\connect_four-56bcd603b7d2b985                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\connect_four-682b05c884c8e2b4                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\connect_four-6ed9c9c606aa7cb5                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\connect_four-6ffa11d6f72a4516                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\connect_four-745b252998505b24                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\connect_four-7b1f91997c8ae634                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\connect_four-945c03f4a5267485                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| target\debug\.fingerprint\connect_four-95627766af99abde                                                                                                    |          1 |          1 |          0 |          0 |          1 |
